year,revenue,costs,jobProfit,businessOverhead,ebitda,afterTaxPL,capitalCosts,depreciation,freeCashFlow,discountedCashFlow,fixedAssets,nopat,roic
2026,8947438.71,-3215165.28,5732273.43,-528333.66,5203939.77,4111112.42,-15843456.58,18743.48,-13055716.48,-10879763.74,15824713.10,4096305.07,0.27
2027,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,9128587.27,6339296.71,14768482.66,9127583.57,0.88
2028,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,6376294.01,13712252.22,9127583.57,1.49
2029,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,5313578.34,12656021.78,9127583.57,2.10
2030,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,4427981.95,11599791.34,9127583.57,2.71
2031,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,3689984.96,10543560.90,9127583.57,3.32
2032,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,3074987.47,9487330.47,9127583.57,3.92
2033,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,2562489.56,8431100.03,9127583.57,4.53
2034,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,2135407.96,7374869.59,9127583.57,5.14
2035,21545097.30,-7670260.43,13874836.86,-1264703.17,12610133.69,9962005.62,0.00,1056230.44,11018236.05,1779506.64,6318639.15,9127583.57,5.75